Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks
Sendusu,SE201811_(162860C1/132617),Tereza_14_Phase1_R18C12,Tereza,1,17-7197-2_R12C14_plot179,7197-2,2018-11-17,,,,,,,,,,
Sendusu,SE201811_(162871C1/132498),Kazirakwe_14_Phase1_R30C5,ITC1355,1,17-9128-3_R4C1_plot46,9128-3,2018-11-08,,,,,,,,,,
Sendusu,SE201811_(162891C1/132512),Nfuuka_14_Phase1_R15C12,Nfuuka,1,17-7197-2_R12C4_plot169,7197-2,2018-11-10,2019-02-11,,,,,,,,,
Sendusu,SE201811_(162893C1/132348),Tereza_14_Phase1_R17C12,Tereza,1,17-7197-2_R11C3_plot153,7197-2,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162894C1/132512),Kabucuragye_14_Phase1_R20C16,Kabucuragye,1,17-7197-2_R12C4_plot169,7197-2,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162897C1/132608),Tereza_14_Phase1_R18C17,Tereza,1,17-8075-7_R3C3_plot33,8075-7,2018-11-07,,,,,,,,,,
Sendusu,SE201811_(162926C1/132684),Entukura_14_Phase1_R4C4,Entukura,1,17-7197-2_R11C5_plot155,7197-2,2018-11-07,,,,,,,,,,
Sendusu,SE201811_(162928C1/132709),Tereza_14_Phase1_R16C2,Tereza,1,17-SH3217_R14C1_plot196,SH3217,2018-11-05,,,,,,,,,,
Sendusu,SE201811_(162937C1/132650),Tereza_14_Phase2_R17C2,Tereza,1,17-9128-3_R5C6_plot66,9128-3,2018-11-22,,,,,,,,,,
Sendusu,SE201811_(162956C1/132348),Tereza_14_Phase2_R17C9,Tereza,1,17-7197-2_R11C3_plot153,7197-2,2018-11-21,,,,,,,,,,
Sendusu,SE201811_(162979C1/132475),Enzirabahima_14_Phase2_R25C3,ITC1354,1,17-8075-7_R2C10_plot25,8075-7,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(162984C1/132697),Tereza_14_Phase2_R17C1,Tereza,1,17-SH3217_R13C5_plot185,SH3217,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(162990C1/132625),Kazirakwe_14_Phase2_R30C4,ITC1355,1,17-SH3362_R19C7_plot277,SH3362,2018-11-10,,,,,,,,,,
Sendusu,SE201811_(163004C1/132625),Kazirakwe_14_Phase2_R30C2,ITC1355,1,17-SH3362_R19C7_plot277,SH3362,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(163028C1/132649),Nakasabira_14_Phase2_R31C2,Nakasabira,1,17-9128-3_R4C11_plot56,9128-3,2018-11-08,2019-02-05,,,,,,,,,
Sendusu,SE201811_(163044C1/132617),Nakyetengu_14_Phase2_R8C3,IITA-Nakyetengu,1,17-7197-2_R12C14_plot179,7197-2,2018-11-24,,,,,,,,,,
Sendusu,SE201811_(163052C1/132403),Nakasabira_14_Phase2_R32C7,Nakasabira,1,17-8075-7_R1C8_plot8,8075-7,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(163064C1/132339),Kazirakwe_14_Phase2_R28C2,ITC1355,1,17-8075-7_R2C14_plot29,8075-7,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(163100C1/132441),Enzirabahima_14_Phase2_R27C3,ITC1354,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-11-15,,,,,,,,,,
Sendusu,SE201811_(163103C1/132373),Nakyetengu_14_Phase2_R8C5,IITA-Nakyetengu,1,17-7197-2_R12C3_plot168,7197-2,2018-11-29,,,,,,,,,,
Sendusu,SE201811_(163105C1/132330),Entukura_14_Phase2_R5C9,Entukura,1,17-8075-7_R3C1_plot31,8075-7,2018-11-08,2019-02-08,,,,,,,,,
Sendusu,SE201811_(163122C1/132696),Kabucuragye_14_Phase2_R19C8,Kabucuragye,1,17-8075-7_R1C3_plot3,8075-7,2018-11-21,,,,,,,,,,
Sendusu,SE201811_(163125C1/132505),Enzirabahima_14_Phase2_R25C6,ITC1354,1,17-SH3217_R13C3_plot183,SH3217,2018-11-19,2019-02-08,,,,,,,,,
Sendusu,SE201811_(163140C1/132635),Kabucuragye_14_Phase2_R19C2,Kabucuragye,1,17-7197-2_R12C2_plot167,7197-2,2018-11-17,,,,,,,,,,
Sendusu,SE201811_(163151C1/132649),Entukura_14_Phase2_R4C6,Entukura,1,17-9128-3_R4C11_plot56,9128-3,2018-11-21,,,,,,,,,,
Sendusu,SE201811_(163175C1/132555),Tereza_16_Phase3_R18C8,Tereza,1,17-9128-3_R4C15_plot60,9128-3,2018-11-28,,,,,,,,,,
Sendusu,SE201811_(163185C1/132452),Entukura_16_Phase3_R6C7,Entukura,1,17-9128-3_R4C7_plot52,9128-3,2018-11-28,,,,,,,,,,
Sendusu,SE201811_(163189C1/132514),Kazirakwe_16_Phase3_R29C4,ITC1355,1,17-7197-2_R12C6_plot171,7197-2,2018-11-17,,,,,,,,,,
Sendusu,SE201811_(163210C1/132425),Entukura_16_Phase3_R6C9,Entukura,1,17-9128-3_R5C1_plot61,9128-3,2018-11-05,,,,,,,,,,
Sendusu,SE201811_(163221C1/132403),Kabucuragye_16_Phase3_R20C7,Kabucuragye,1,17-8075-7_R1C8_plot8,8075-7,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(163239C1/132316),Nfuuka_16_Phase3_R15C2,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-11-23,,,,,,,,,,
Sendusu,SE201811_(163244C1/132339),Kazirakwe_16_Phase3_R30C2,ITC1355,1,17-8075-7_R2C14_plot29,8075-7,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(163252C1/132348),Enzirabahima_16_Phase3_R27C2,ITC1354,1,17-7197-2_R11C3_plot153,7197-2,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(163257C1/132566),Nakasabira_16_Phase3_R32C4,Nakasabira,1,17-8075-7_R1C2_plot2,8075-7,2018-11-13,2019-02-11,,,,,,,,,
Sendusu,SE201811_(163288C1/132566),Nakyetengu_16_Phase3_R7C3,IITA-Nakyetengu,1,17-8075-7_R1C2_plot2,8075-7,2018-11-08,2019-02-11,,,,,,,,,
Sendusu,SE201811_(163290C1/132498),Nfuuka_16_Phase3_R13C3,Nfuuka,1,17-9128-3_R4C1_plot46,9128-3,2018-11-12,2019-02-08,,,,,,,,,
Sendusu,SE201811_(163327C1/132522),Nakasabira_16_Phase3_R31C4,Nakasabira,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-11-06,,,,,,,,,,
Sendusu,SE201811_(163331C1/132649),Nakasabira_16_Phase3_R32C1,Nakasabira,1,17-9128-3_R4C11_plot56,9128-3,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(163332C1/132505),Nakyetengu_16_Phase3_R8C10,IITA-Nakyetengu,1,17-SH3217_R13C3_plot183,SH3217,2018-11-05,,,,,,,,,,
Sendusu,SE201811_(163370C1/132610),Kazirakwe_16_Phase3_R29C2,ITC1355,1,17-8075-7_R1C7_plot7,8075-7,2018-11-05,,,,,,,,,,
Sendusu,SE201811_(163373C1/132425),Enzirabahima_16_Phase3_R27C7,ITC1354,1,17-9128-3_R5C1_plot61,9128-3,2018-11-02,,,,,,,,,,
Sendusu,SE201811_(163402C1/132522),Tereza_16_Phase3_R18C1,Tereza,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(163404C1/132348),Entukura_16_Phase3_R4C4,Entukura,1,17-7197-2_R11C3_plot153,7197-2,2018-11-12,,,,,,,,,,
Sendusu,SE201811_(163407C1/132348),Enzirabahima_16_Phase3_R26C4,ITC1354,1,17-7197-2_R11C3_plot153,7197-2,2018-11-08,,,,,,,,,,
Sendusu,SE201812_(162384C1/132325),29275S-1_14_R8P3,29275S-1,1,17-10969s-1_R22C1_plot316,10969S-1,2018-12-12,,,,,,,,,,
Sendusu,SE201812_(162398C1/132316),29364S-2_14_R12P2,29364S-2,1,17-8075-7_R2C1_plot16,8075-7,2018-12-19,,,,,,,,,,
Sendusu,SE201812_(162428C1/132354),29275S-1_14_R8P4,29275S-1,1,17-10969s-1_R23C10_plot340,10969S-1,2018-12-17,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),29364S-2_14_R12P3,29364S-2,1,17-7197-2_R11C14_plot164,7197-2,2018-12-27,,,,,,,,,,
Sendusu,SE201812_(162438C1/132631),25974S-17_14_R5P8,25974S-17,1,17-7197-2_R10C7_plot142,7197-2,2018-12-19,,,,,,,,,,
Sendusu,SE201812_(162484C1/132332),29275S-4_14_R2P3,29275S-4,1,17-8075-7_R1C11_plot11,8075-7,2018-12-28,,,,,,,,,,
Sendusu,SE201812_(162486C1/132608),29275S-4_14_R1P6,29275S-4,1,17-8075-7_R3C3_plot33,8075-7,2018-12-07,,,,,,,,,,
Sendusu,SE201812_(162494C1/132684),29364S-2_14_R12P1,29364S-2,1,17-7197-2_R11C5_plot155,7197-2,2018-12-13,,,,,,,,,,
Sendusu,SE201812_(162500C1/132625),Entukura_14_Phase1_R5C14,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-20,,,,,,,,,,
Sendusu,SE201812_(162526C1/132684),Entukura_14_Phase1_R4C11,Entukura,1,17-7197-2_R11C5_plot155,7197-2,2018-12-03,,,,,,,,,,
Sendusu,SE201812_(162577C1/132624),Entukura_14_Phase1_R6C13,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-12-22,,,,,,,,,,
Sendusu,SE201812_(162623C1/132522),Nakyetengu_14_Phase1_R8C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-04,,,,,,,,,,
Sendusu,SE201812_(162654C1/132379),Nakasabira_14_Phase1_R33C3,Nakasabira,1,17-9128-3_R4C4_plot49,9128-3,2018-12-24,,,,,,,,,,
Sendusu,SE201812_(162681C1/132316),Entukura_14_Phase1_R5C7,Entukura,1,17-8075-7_R2C1_plot16,8075-7,2018-12-04,,,,,,,,,,
Sendusu,SE201812_(162682C1/132707),Enzirabahima_14_Phase1_R25C16,ITC1354,1,17-8075-7_R3C4_plot34,8075-7,2018-12-07,,,,,,,,,,
Sendusu,SE201812_(162742C1/132316),Nfuuka_14_Phase1_R13C1,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-24,,,,,,,,,,
Sendusu,SE201812_(162745C1/132348),Nfuuka_14_Phase1_R15C7,Nfuuka,1,17-7197-2_R11C3_plot153,7197-2,2018-12-26,,,,,,,,,,
Sendusu,SE201812_(162763C1/132684),Nfuuka_14_Phase1_R14C11,Nfuuka,1,17-7197-2_R11C5_plot155,7197-2,2018-12-12,,,,,,,,,,
Sendusu,SE201812_(162840C1/132522),Nakyetengu_14_Phase1_R9C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-13,,,,,,,,,,
Sendusu,SE201812_(162847C1/132330),Tereza_14_Phase1_R18C9,Tereza,1,17-8075-7_R3C1_plot31,8075-7,2018-12-28,,,,,,,,,,
Sendusu,SE201812_(162851C1/132707),Entukura_14_Phase1_R6C12,Entukura,1,17-8075-7_R3C4_plot34,8075-7,2018-12-03,,,,,,,,,,
Sendusu,SE201812_(162870C1/132625),Entukura_14_Phase1_R6C18,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-04,,,,,,,,,,
Sendusu,SE201812_(162890C1/132316),Nfuuka_14_Phase1_R14C8,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,,,
Sendusu,SE201812_(162892C1/132498),Enzirabahima_14_Phase1_R26C15,ITC1354,1,17-9128-3_R4C1_plot46,9128-3,2018-12-07,,,,,,,,,,
Sendusu,SE201812_(162935C1/132514),Tereza_14_Phase2_R18C8,Tereza,1,17-7197-2_R12C6_plot171,7197-2,2018-12-07,,,,,,,,,,
Sendusu,SE201812_(162947C1/132697),Kazirakwe_14_Phase2_R28C10,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-12-24,,,,,,,,,,
Sendusu,SE201812_(162971C1/132332),Kazirakwe_14_Phase2_R29C7,ITC1355,1,17-8075-7_R1C11_plot11,8075-7,2018-12-20,,,,,,,,,,
Sendusu,SE201812_(162992C1/132484),Kazirakwe_14_Phase2_R29C8,ITC1355,1,17-7197-2_R12C12_plot177,7197-2,2018-12-20,,,,,,,,,,
Sendusu,SE201812_(163006C1/132555),Kazirakwe_14_Phase2_R28C4,ITC1355,1,17-9128-3_R4C15_plot60,9128-3,2018-12-28,,,,,,,,,,
Sendusu,SE201812_(163062C1/132348),Nakasabira_14_Phase2_R33C10,Nakasabira,1,17-7197-2_R11C3_plot153,7197-2,2018-12-10,,,,,,,,,,
Sendusu,SE201812_(163063C1/132552),Nfuuka_14_Phase2_R14C4,Nfuuka,1,17-7197-2_R10C3_plot138,7197-2,2018-12-27,,,,,,,,,,
Sendusu,SE201812_(163073C1/132608),Entukura_14_Phase2_R4C10,Entukura,1,17-8075-7_R3C3_plot33,8075-7,2018-12-15,,,,,,,,,,
Sendusu,SE201812_(163091C1/132608),Nakasabira_14_Phase2_R32C1,Nakasabira,1,17-8075-7_R3C3_plot33,8075-7,2018-12-08,,,,,,,,,,
Sendusu,SE201812_(163113C1/132505),Kabucuragye_14_Phase2_R20C6,Kabucuragye,1,17-SH3217_R13C3_plot183,SH3217,2018-12-12,,,,,,,,,,
Sendusu,SE201812_(163127C1/132533),Nakyetengu_14_Phase2_R7C10,IITA-Nakyetengu,1,17-8075-7_R2C5_plot20,8075-7,2018-12-04,,,,,,,,,,
Sendusu,SE201812_(163135C1/132514),Enzirabahima_14_Phase2_R25C5,ITC1354,1,17-7197-2_R12C6_plot171,7197-2,2018-12-24,,,,,,,,,,
Sendusu,SE201812_(163136C1/132709),Kabucuragye_14_Phase2_R19C10,Kabucuragye,1,17-SH3217_R14C1_plot196,SH3217,2018-12-03,,,,,,,,,,
Sendusu,SE201812_(163139C1/132316),Nakasabira_14_Phase2_R33C9,Nakasabira,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,,,
